time_step,scenario,density,stability,route_score,our_delay,our_jitter,our_pdr,our_throughput,our_overhead,our_travel_time,our_congestion,aodv_delay,aodv_jitter,aodv_pdr,aodv_throughput,aodv_overhead,aodv_travel_time,aodv_congestion
640,low,12,0.6211,0.5308,0.03086,0.00163,0.9118,0.4482,23.58,47.91,0.0652,0.17344,0.02654,0.73,0.3588,44.52,74.56,0.0816
650,low,9,0.6741,0.5967,0.03294,0.00209,0.9157,0.3376,15.97,46.97,0.0493,0.1264,0.04704,0.7706,0.2841,30.85,63.15,0.0716
660,low,11,0.6221,0.5477,0.0294,0.00354,0.9312,0.4195,22.3,46.72,0.0583,0.13413,0.00773,0.7446,0.3355,32.45,64.98,0.1068
670,low,12,0.6947,0.5529,0.0344,0.00499,0.9225,0.4535,20.28,50.53,0.0659,0.11452,0.0196,0.7541,0.3707,37.04,68.79,0.0896
680,low,11,0.6155,0.5458,0.03231,0.00209,0.9201,0.4146,19.72,47.76,0.0599,0.13221,0.01769,0.7505,0.3381,42.38,63.83,0.0879
690,low,12,0.7116,0.5579,0.02852,0.00379,0.9047,0.4447,20.73,48.34,0.0641,0.15984,0.02763,0.721,0.3544,32.6,72.41,0.1035
700,low,11,0.7062,0.573,0.02987,0.00136,0.9196,0.4143,22.03,46.23,0.0599,0.11618,0.04367,0.736,0.3316,35.24,70.49,0.094
710,low,11,0.6537,0.5572,0.03563,0.00576,0.9193,0.4142,18.65,49.33,0.0613,0.13158,0.0154,0.7273,0.3277,33.63,67.39,0.0931
720,low,12,0.5101,0.4975,0.03722,0.00159,0.9003,0.4425,21.64,47.32,0.0657,0.1211,0.01047,0.7184,0.3531,45.46,70.42,0.104
730,low,12,0.6521,0.5401,0.03078,0.00645,0.9159,0.4502,21.95,49.8,0.067,0.1433,0.02219,0.7412,0.3643,43.68,69.93,0.104
740,low,12,0.7053,0.556,0.03306,0.00228,0.919,0.4517,24.58,48.73,0.0643,0.13372,0.00958,0.7349,0.3612,48.0,72.65,0.0816
750,low,12,0.56,0.5124,0.03343,0.00038,0.896,0.4404,26.42,50.64,0.0662,0.12694,0.00677,0.7242,0.3559,40.66,69.51,0.0985
760,low,11,0.6755,0.5638,0.02452,0.00892,0.9121,0.4109,20.61,48.87,0.0581,0.16493,0.03799,0.7912,0.3565,33.72,69.0,0.078
770,low,12,0.4844,0.4898,0.03489,0.01038,0.9034,0.444,23.26,47.18,0.0662,0.13987,0.02506,0.7337,0.3606,35.83,70.85,0.1123
780,low,13,0.7062,0.5396,0.03508,0.00018,0.9008,0.4797,26.94,48.57,0.07,0.15541,0.01554,0.7035,0.3746,45.77,73.13,0.1132
790,low,11,0.6376,0.5524,0.02915,0.00592,0.8923,0.402,18.5,49.99,0.0601,0.16993,0.01452,0.7605,0.3427,39.89,70.72,0.0996
800,low,12,0.7109,0.5577,0.04144,0.01229,0.9191,0.4518,21.69,46.69,0.0648,0.13578,0.03415,0.7586,0.3729,31.69,73.13,0.0992
810,low,12,0.6192,0.5302,0.0395,0.00194,0.9107,0.4476,21.57,47.81,0.0632,0.16288,0.0271,0.7397,0.3636,43.48,69.71,0.0918
820,low,12,0.5842,0.5197,0.03033,0.00917,0.9034,0.444,25.71,48.3,0.0657,0.13489,0.028,0.7238,0.3558,30.79,72.32,0.1175
830,low,12,0.6126,0.5282,0.03298,0.00265,0.9127,0.4486,24.95,48.46,0.0637,0.13499,0.0001,0.7858,0.3862,36.72,68.0,0.1117
840,low,11,0.6359,0.5519,0.03026,0.00271,0.9118,0.4108,23.18,50.15,0.0588,0.14136,0.00637,0.7723,0.3479,31.81,67.97,0.0891
850,low,12,0.7213,0.5608,0.03025,2e-05,0.9111,0.4478,20.22,48.61,0.0659,0.12891,0.01245,0.7766,0.3817,36.04,70.61,0.0851
860,low,14,0.5538,0.4773,0.03214,0.00189,0.8916,0.5113,25.1,50.97,0.075,0.13198,0.00306,0.7283,0.4176,55.21,69.3,0.119
870,low,12,0.624,0.5316,0.03026,0.00188,0.9031,0.4439,21.55,47.09,0.0647,0.10623,0.02575,0.7402,0.3638,30.72,65.67,0.0925
880,low,13,0.6061,0.5096,0.03763,0.00737,0.9006,0.4796,28.01,47.17,0.0719,0.11831,0.01208,0.6845,0.3645,39.5,72.13,0.0983
890,low,15,0.7381,0.5159,0.03566,0.00197,0.9168,0.5633,32.58,50.14,0.0827,0.15081,0.0325,0.7249,0.4454,53.81,69.51,0.1183
900,low,16,0.6132,0.4617,0.03314,0.00253,0.8832,0.5788,30.76,50.15,0.0872,0.14422,0.00659,0.7643,0.5009,56.55,74.65,0.1201
910,low,16,0.7513,0.5032,0.0325,0.00064,0.8967,0.5877,32.05,52.79,0.0864,0.16009,0.01587,0.7287,0.4775,58.93,72.04,0.1141
920,low,16,0.7148,0.4922,0.03174,0.00076,0.9029,0.5918,28.94,49.73,0.0883,0.15168,0.00841,0.7211,0.4726,45.37,76.78,0.1231
930,low,16,0.5792,0.4515,0.03325,0.00151,0.8956,0.5869,31.05,52.66,0.086,0.10348,0.04821,0.7055,0.4623,60.77,74.19,0.1454
940,low,14,0.6702,0.5122,0.0282,0.00504,0.9161,0.5253,30.2,48.47,0.0749,0.13583,0.03235,0.6926,0.3972,52.2,72.55,0.0983
950,low,16,0.6975,0.487,0.03332,0.00512,0.9079,0.595,35.62,49.32,0.0865,0.14588,0.01005,0.7198,0.4717,53.8,76.73,0.1208
960,low,16,0.7281,0.4962,0.02643,0.00689,0.9062,0.5939,33.59,49.88,0.088,0.15876,0.01287,0.6967,0.4566,54.61,70.34,0.1281
970,low,16,0.5899,0.4548,0.04102,0.0146,0.909,0.5957,31.49,49.93,0.0862,0.15434,0.00442,0.6892,0.4517,51.17,75.86,0.1484
980,low,14,0.5694,0.4819,0.0437,0.00268,0.8956,0.5136,28.92,47.76,0.0736,0.1516,0.00273,0.7184,0.412,47.07,67.39,0.1154
990,low,15,0.674,0.4966,0.02988,0.01383,0.9183,0.5642,28.51,50.37,0.0798,0.15359,0.00199,0.7199,0.4423,47.05,75.13,0.13
1000,low,15,0.733,0.5143,0.02933,0.00054,0.8992,0.5525,32.31,51.23,0.0823,0.16641,0.01282,0.7695,0.4728,44.97,73.24,0.1065
1010,low,17,0.6795,0.465,0.03281,0.00348,0.9066,0.6313,36.99,53.11,0.0895,0.1687,0.00229,0.714,0.4972,65.05,69.47,0.1537
1020,low,16,0.6443,0.4711,0.03257,0.00024,0.9022,0.5913,31.21,52.93,0.0862,0.15935,0.00935,0.7309,0.479,61.63,75.61,0.1471
1030,low,17,0.7633,0.4901,0.03678,0.00421,0.9114,0.6346,33.88,51.18,0.0916,0.16608,0.00672,0.6915,0.4815,56.7,78.48,0.1447
1040,low,19,0.7122,0.4414,0.03269,0.00409,0.883,0.6872,35.01,50.8,0.104,0.13655,0.02953,0.7309,0.5688,52.84,79.83,0.1653
1050,low,17,0.788,0.4975,0.03069,0.002,0.899,0.626,33.37,53.65,0.0911,0.13455,0.002,0.7189,0.5006,45.48,70.95,0.1245
1060,low,18,0.7054,0.4561,0.03819,0.0075,0.8953,0.6601,37.44,53.93,0.0987,0.16744,0.03289,0.7613,0.5613,66.83,75.22,0.1318
1070,low,17,0.6497,0.456,0.03447,0.00372,0.8946,0.6229,34.74,51.03,0.0909,0.13468,0.03276,0.7505,0.5226,56.33,73.25,0.1479
1080,low,16,0.7681,0.5082,0.03227,0.0022,0.8923,0.5848,28.23,51.9,0.0888,0.13847,0.00379,0.7534,0.4937,62.83,74.69,0.1209
1090,low,20,0.6507,0.4063,0.04074,0.00847,0.8959,0.7339,44.36,52.44,0.1109,0.15076,0.01229,0.7173,0.5876,78.08,78.76,0.1788
1100,low,18,0.666,0.4442,0.03443,0.00631,0.9037,0.6663,40.59,50.25,0.0997,0.16268,0.01192,0.7492,0.5523,65.12,74.29,0.1595
1110,low,17,0.6339,0.4513,0.03753,0.0031,0.9087,0.6328,32.82,52.26,0.0919,0.14438,0.0183,0.708,0.493,47.56,69.56,0.137
1120,low,20,0.7084,0.4236,0.03312,0.00441,0.8966,0.7345,43.19,51.49,0.1099,0.15942,0.01503,0.7414,0.6073,55.48,80.52,0.1743
1130,low,18,0.6416,0.4369,0.03049,0.00263,0.899,0.6628,36.66,50.0,0.0977,0.16499,0.00557,0.7428,0.5476,47.19,75.34,0.1488
1140,low,18,0.6848,0.4499,0.02787,0.00262,0.9133,0.6734,34.34,51.19,0.0972,0.15619,0.0088,0.7352,0.542,56.08,73.83,0.1594
1150,low,17,0.6826,0.4659,0.03209,0.00423,0.905,0.6301,32.42,52.3,0.0916,0.17945,0.02326,0.7459,0.5194,54.57,77.88,0.1236
1160,low,19,0.6173,0.413,0.03487,0.00278,0.8818,0.6862,39.19,52.77,0.1037,0.16303,0.01643,0.7456,0.5802,71.33,79.67,0.1471
1170,low,19,0.5737,0.3999,0.03268,0.00219,0.8874,0.6906,40.81,54.3,0.1052,0.15081,0.01222,0.7361,0.5729,72.61,76.48,0.1621
1180,low,19,0.6038,0.4089,0.02901,0.00367,0.8903,0.6929,44.09,51.49,0.1007,0.1744,0.0236,0.7104,0.5528,50.25,72.73,0.1526
1190,low,19,0.7153,0.4424,0.03037,0.00137,0.8971,0.6981,39.07,50.46,0.102,0.18087,0.00647,0.7138,0.5555,54.42,72.71,0.1529
1200,low,19,0.6759,0.4305,0.03819,0.00781,0.8987,0.6994,40.02,50.82,0.104,0.12812,0.05275,0.7426,0.5779,55.2,75.85,0.1768
1210,low,20,0.6581,0.4085,0.03444,0.00375,0.8927,0.7313,38.19,52.37,0.1071,0.17515,0.04703,0.7181,0.5883,54.02,73.02,0.1661
1220,low,20,0.5782,0.3846,0.03075,0.00369,0.8951,0.7333,39.06,51.05,0.1059,0.17484,0.00031,0.742,0.6078,70.68,78.74,0.1691
1230,low,19,0.6189,0.4134,0.0398,0.00905,0.8856,0.6892,39.15,51.12,0.0998,0.12415,0.05068,0.7271,0.5658,49.44,73.42,0.146
1240,low,20,0.754,0.4373,0.03279,0.00701,0.8899,0.729,39.25,54.6,0.1064,0.15879,0.03463,0.6933,0.5679,71.06,80.18,0.1499
1250,low,19,0.6737,0.4299,0.03896,0.00616,0.8871,0.6904,41.7,54.7,0.1021,0.17026,0.01147,0.716,0.5573,61.92,73.89,0.1703
1260,low,17,0.6804,0.4652,0.03272,0.00623,0.8929,0.6217,38.61,51.64,0.0916,0.11958,0.05068,0.7272,0.5064,52.54,68.93,0.1566
1270,low,18,0.6937,0.4526,0.03743,0.00471,0.8869,0.6539,34.71,53.59,0.0967,0.16895,0.04937,0.712,0.525,64.15,78.0,0.1355
1280,low,19,0.6973,0.437,0.03878,0.00135,0.9028,0.7026,40.25,51.59,0.0999,0.13831,0.03064,0.7244,0.5637,59.83,72.46,0.1596
1290,low,20,0.7981,0.4505,0.03811,0.00067,0.9045,0.741,38.19,54.18,0.1086,0.15328,0.01497,0.7151,0.5858,59.94,75.03,0.1476
1300,low,21,0.6263,0.3823,0.0367,0.0014,0.8896,0.7652,45.31,54.16,0.1162,0.17037,0.01709,0.7268,0.6252,52.97,77.34,0.1742
1310,low,21,0.5856,0.3701,0.04193,0.00522,0.8741,0.7518,45.3,55.43,0.1103,0.13889,0.03148,0.7225,0.6215,68.43,75.61,0.1679
1320,low,19,0.6129,0.4117,0.03873,0.00319,0.8892,0.692,44.16,50.64,0.1018,0.13534,0.00355,0.7325,0.57,63.52,79.4,0.1608
1330,low,18,0.5677,0.4148,0.03621,0.00252,0.8889,0.6553,37.86,52.07,0.0992,0.16745,0.03211,0.722,0.5323,60.27,78.19,0.159
1340,low,19,0.7959,0.4665,0.03074,0.00547,0.8839,0.6879,40.09,54.47,0.1039,0.1487,0.01875,0.733,0.5704,57.86,70.68,0.1495
1350,low,19,0.6518,0.4233,0.0433,0.01257,0.8978,0.6987,40.0,51.41,0.1005,0.19035,0.04164,0.7121,0.5542,72.71,70.35,0.1456
1360,low,21,0.5959,0.3732,0.03571,0.00759,0.8764,0.7539,50.43,54.09,0.1161,0.14785,0.0425,0.7079,0.6089,53.13,76.9,0.1907
1370,low,20,0.6198,0.3971,0.03558,0.00013,0.8827,0.7231,44.93,53.31,0.1087,0.15849,0.01064,0.7054,0.5779,65.81,75.35,0.1792
1380,low,20,0.6661,0.4109,0.03986,0.00428,0.8989,0.7364,40.38,51.1,0.1051,0.1619,0.00342,0.7365,0.6033,61.09,74.33,0.1793
1390,low,21,0.746,0.4182,0.03752,0.00234,0.9034,0.777,42.39,55.39,0.1164,0.1563,0.0056,0.6937,0.5967,62.9,81.22,0.1658
1400,low,19,0.6358,0.4185,0.03648,0.00104,0.8956,0.697,44.01,52.36,0.1059,0.17177,0.01547,0.7112,0.5535,65.2,71.5,0.1633
1410,low,21,0.6558,0.3912,0.03338,0.00309,0.8976,0.7721,49.29,53.69,0.1148,0.18575,0.01398,0.7452,0.641,61.64,74.97,0.1944
1420,low,18,0.6445,0.4378,0.03842,0.00503,0.8936,0.6589,34.48,50.58,0.0947,0.13586,0.04989,0.6987,0.5152,45.64,72.69,0.1556
1430,low,20,0.7174,0.4263,0.03777,0.00065,0.8822,0.7227,46.0,55.33,0.1086,0.15184,0.01598,0.7222,0.5916,75.85,79.29,0.1737
1440,low,21,0.652,0.3901,0.03187,0.0059,0.874,0.7518,49.12,55.73,0.1172,0.14487,0.00698,0.6962,0.5989,63.63,74.41,0.1603
1450,low,18,0.6752,0.447,0.03731,0.00544,0.906,0.668,41.64,53.45,0.0987,0.14717,0.0023,0.7461,0.5501,70.35,74.64,0.1437
1460,low,20,0.7039,0.4223,0.02681,0.01051,0.904,0.7406,37.46,51.25,0.1065,0.15256,0.00539,0.7391,0.6055,65.83,79.26,0.1643
1470,low,18,0.6493,0.4392,0.03417,0.00737,0.8999,0.6635,34.56,53.21,0.097,0.15813,0.00558,0.7136,0.5261,56.61,72.27,0.1369
1480,low,20,0.6549,0.4076,0.03551,0.00134,0.8833,0.7236,38.84,55.39,0.106,0.12234,0.0358,0.7158,0.5864,52.55,78.93,0.1467
1490,low,19,0.6593,0.4256,0.02964,0.00587,0.8843,0.6882,43.9,54.76,0.1004,0.16717,0.04484,0.7158,0.5571,56.85,72.49,0.1702
1500,low,20,0.6759,0.4139,0.04333,0.01368,0.897,0.7349,37.73,54.62,0.1088,0.11658,0.05059,0.7067,0.5789,53.67,72.03,0.1608
1510,low,18,0.5817,0.419,0.03583,0.00749,0.8917,0.6574,33.82,53.03,0.0945,0.15131,0.03473,0.7749,0.5713,65.22,75.51,0.1634
1520,low,20,0.6993,0.4209,0.03524,0.00059,0.8927,0.7313,39.14,50.93,0.1069,0.15905,0.00774,0.7471,0.612,75.61,78.55,0.1618
1530,low,19,0.6779,0.4312,0.0344,0.00085,0.9067,0.7056,35.36,51.25,0.1008,0.1732,0.01415,0.7075,0.5506,73.83,72.95,0.173
1540,low,20,0.6428,0.4039,0.03097,0.00343,0.9022,0.7391,45.74,51.05,0.1095,0.17525,0.00204,0.7059,0.5783,73.71,77.26,0.147
1550,low,19,0.6937,0.4359,0.03325,0.00228,0.9089,0.7074,42.82,53.83,0.1057,0.15769,0.01756,0.7225,0.5623,53.94,70.47,0.1709
1560,low,19,0.7132,0.4417,0.03827,0.00502,0.8819,0.6863,42.31,54.89,0.1028,0.17823,0.02055,0.7209,0.5611,61.43,71.35,0.1633
1570,low,19,0.6604,0.4259,0.03423,0.00404,0.8945,0.6961,39.92,52.76,0.1022,0.14226,0.03598,0.7325,0.5701,51.09,80.05,0.141
1580,low,17,0.6106,0.4443,0.03522,0.00099,0.9069,0.6315,33.58,49.33,0.092,0.14468,0.00242,0.7667,0.5339,55.47,76.92,0.1227
1590,low,18,0.687,0.4506,0.03136,0.00386,0.9018,0.6649,39.38,51.44,0.097,0.15671,0.01203,0.7316,0.5394,45.4,76.56,0.1331
1600,low,19,0.7193,0.4436,0.03358,0.00222,0.8884,0.6914,38.74,51.1,0.1022,0.15722,0.00051,0.7398,0.5757,69.6,72.71,0.176
1610,low,19,0.6057,0.4095,0.0381,0.00452,0.8878,0.6909,43.91,53.69,0.1019,0.17299,0.01577,0.7651,0.5954,67.22,78.06,0.1486
1620,low,18,0.6651,0.444,0.03546,0.00264,0.8944,0.6594,41.81,52.12,0.0976,0.14089,0.0321,0.7289,0.5374,59.9,69.58,0.1467
1630,low,20,0.7385,0.4326,0.03243,0.00304,0.8893,0.7285,45.38,54.74,0.108,0.15468,0.01379,0.7236,0.5928,74.45,79.15,0.1655
1640,low,21,0.6885,0.401,0.03311,0.00069,0.8799,0.7569,49.53,52.51,0.1147,0.14038,0.01429,0.7314,0.6291,72.59,71.98,0.1752
1650,low,19,0.5719,0.3994,0.03045,0.00266,0.8882,0.6912,36.28,52.77,0.1061,0.13498,0.0054,0.7371,0.5736,71.74,75.12,0.1658
1660,low,20,0.6747,0.4135,0.0321,0.00165,0.8906,0.7296,42.24,52.1,0.1101,0.15202,0.01704,0.7223,0.5917,68.82,72.97,0.1613
1670,low,21,0.7327,0.4142,0.0335,0.0014,0.8858,0.7619,43.61,54.44,0.1106,0.1186,0.03342,0.756,0.6503,80.93,75.0,0.1682
