time_step,scenario,density,stability,route_score,our_delay,our_jitter,our_pdr,our_throughput,our_overhead,our_travel_time,our_congestion,aodv_delay,aodv_jitter,aodv_pdr,aodv_throughput,aodv_overhead,aodv_travel_time,aodv_congestion
460,high,38,0.7065,0.3064,0.03865,0.00167,0.8807,1.3708,96.21,64.83,0.1996,0.18595,0.0135,0.6479,1.0085,100.04,88.14,0.3169
470,high,38,0.6525,0.2902,0.03683,0.00182,0.8681,1.3512,92.1,61.92,0.201,0.18045,0.0055,0.6659,1.0364,125.92,88.88,0.3052
480,high,41,0.6554,0.2911,0.03811,0.00128,0.879,1.4761,103.29,63.15,0.2261,0.20135,0.02091,0.689,1.1571,140.99,97.06,0.331
490,high,40,0.7248,0.3119,0.04215,0.00404,0.8694,1.4244,83.28,63.12,0.2162,0.19623,0.00513,0.6533,1.0703,126.73,89.47,0.3518
500,high,40,0.7323,0.3141,0.0459,0.00375,0.8704,1.4261,100.0,63.57,0.2228,0.19097,0.00526,0.6728,1.1023,135.19,89.25,0.3142
510,high,42,0.7424,0.3172,0.02847,0.01742,0.8666,1.4908,94.52,63.38,0.2207,0.19582,0.00485,0.6453,1.1101,138.61,89.64,0.3362
520,high,43,0.7352,0.315,0.03161,0.00314,0.8749,1.5409,107.19,67.86,0.2389,0.18032,0.01551,0.6551,1.1538,108.64,98.04,0.344
530,high,44,0.6595,0.2923,0.03168,7e-05,0.857,1.5445,103.85,69.48,0.242,0.16741,0.0129,0.6724,1.2118,165.29,94.49,0.3791
540,high,46,0.7177,0.3097,0.0355,0.00382,0.87,1.6392,111.34,68.63,0.2515,0.19118,0.02376,0.6285,1.1843,146.1,93.22,0.3665
550,high,45,0.7726,0.3262,0.03345,0.00205,0.8735,1.6101,102.03,68.39,0.2414,0.18577,0.00541,0.6761,1.2462,127.17,94.61,0.3736
560,high,46,0.7536,0.3205,0.03573,0.00228,0.8764,1.6513,111.18,70.39,0.2447,0.19065,0.00488,0.6418,1.2093,157.32,97.75,0.391
570,high,49,0.8365,0.3454,0.03465,0.00109,0.8837,1.7737,113.73,70.11,0.2578,0.22106,0.03041,0.6352,1.2749,122.57,102.52,0.3953
580,high,46,0.6906,0.3016,0.04337,0.00873,0.8618,1.6239,95.38,66.71,0.2514,0.18922,0.03184,0.6293,1.1858,137.81,97.24,0.3836
590,high,47,0.7108,0.3077,0.03548,0.00789,0.8649,1.6651,117.94,69.21,0.2534,0.22869,0.03947,0.662,1.2744,146.19,100.39,0.4062
600,high,51,0.714,0.3087,0.03887,0.00339,0.8769,1.8319,114.84,70.96,0.2744,0.23541,0.00672,0.6532,1.3644,139.04,104.41,0.4118
610,high,51,0.7449,0.3179,0.04453,0.00565,0.8709,1.8192,104.92,68.77,0.2806,0.21042,0.02499,0.6355,1.3275,200.44,98.51,0.4291
620,high,53,0.668,0.2949,0.04774,0.00321,0.8614,1.87,131.17,70.71,0.281,0.22882,0.01841,0.6338,1.3758,173.23,101.38,0.4302
630,high,53,0.6907,0.3017,0.03253,0.01521,0.868,1.8844,125.58,72.49,0.2849,0.21939,0.00943,0.6247,1.3561,155.28,104.75,0.4554
640,high,53,0.6727,0.2963,0.03765,0.00513,0.8534,1.8526,124.8,69.94,0.2949,0.21098,0.00841,0.6027,1.3083,187.89,104.97,0.4313
650,high,53,0.8348,0.3449,0.03369,0.00396,0.872,1.8931,113.1,72.47,0.2902,0.24099,0.03001,0.5857,1.2716,153.4,104.49,0.4568
660,high,54,0.6955,0.3031,0.03921,0.00552,0.8688,1.9218,120.76,70.35,0.3006,0.23114,0.00985,0.5944,1.3147,178.19,98.51,0.4488
670,high,55,0.7769,0.3275,0.03973,0.00052,0.8858,1.9955,121.95,71.7,0.2922,0.19816,0.03298,0.6479,1.4596,164.77,104.74,0.4736
680,high,56,0.7425,0.3172,0.03942,0.0003,0.8803,2.0193,120.49,74.36,0.3044,0.2395,0.04134,0.612,1.4039,182.0,103.26,0.452
690,high,56,0.6991,0.3042,0.02523,0.01419,0.8799,2.0182,136.06,71.73,0.3125,0.22156,0.01794,0.5981,1.372,146.72,106.49,0.4769
700,high,58,0.8178,0.3398,0.0418,0.01656,0.8831,2.0979,139.3,77.57,0.3206,0.22806,0.0065,0.5998,1.4249,153.05,109.64,0.4898
710,high,59,0.7365,0.3154,0.03478,0.00702,0.8762,2.1174,123.69,73.27,0.3221,0.23039,0.00234,0.5968,1.4422,207.55,107.64,0.4838
720,high,62,0.7367,0.3155,0.03472,5e-05,0.8863,2.2508,151.85,77.46,0.3377,0.21888,0.01151,0.6284,1.5957,217.89,107.05,0.5365
730,high,61,0.7638,0.3236,0.03617,0.00145,0.8785,2.1951,131.78,78.14,0.3391,0.23513,0.01625,0.6019,1.504,163.15,107.11,0.5219
740,high,62,0.8208,0.3407,0.03609,8e-05,0.8754,2.2231,130.86,77.99,0.335,0.22226,0.01287,0.5996,1.5227,238.73,112.82,0.5023
750,high,61,0.7482,0.3189,0.03568,0.00042,0.883,2.2062,144.44,76.96,0.3373,0.23102,0.00876,0.5617,1.4034,177.28,110.89,0.5215
760,high,63,0.6745,0.2968,0.04205,0.00638,0.8677,2.239,132.95,78.98,0.3365,0.25476,0.02374,0.5821,1.502,212.67,111.53,0.5265
770,high,62,0.7721,0.3261,0.03486,0.0072,0.8732,2.2174,131.4,73.71,0.3346,0.22477,0.02999,0.6421,1.6306,165.8,111.4,0.5334
780,high,64,0.6935,0.3025,0.04279,0.00794,0.8685,2.2767,155.03,76.37,0.3376,0.23425,0.00947,0.5699,1.4939,208.35,110.34,0.5409
790,high,64,0.7348,0.3149,0.04131,0.00149,0.8865,2.324,160.33,77.14,0.356,0.22857,0.00568,0.5924,1.5529,241.4,115.93,0.5354
800,high,66,0.7935,0.3325,0.04396,0.00265,0.8778,2.3731,141.33,79.21,0.3658,0.24778,0.01922,0.6088,1.6457,225.09,115.97,0.5612
810,high,68,0.7398,0.3164,0.03625,0.0077,0.8653,2.4101,161.11,76.94,0.3764,0.25085,0.00306,0.6127,1.7067,211.56,111.03,0.5521
820,high,68,0.773,0.3263,0.0431,0.00685,0.8812,2.4543,162.81,77.57,0.371,0.25538,0.00453,0.5624,1.5665,202.57,119.0,0.5637
830,high,68,0.8272,0.3426,0.04126,0.00184,0.8663,2.4129,141.0,82.12,0.3619,0.26288,0.0075,0.5624,1.5663,250.89,113.15,0.5864
840,high,69,0.7773,0.3276,0.04285,0.00159,0.87,2.4588,163.98,83.37,0.3701,0.26348,0.0006,0.5803,1.64,205.66,111.57,0.5918
850,high,70,0.8175,0.3397,0.03611,0.00674,0.8933,2.5613,157.13,79.54,0.39,0.24312,0.02036,0.5523,1.5836,250.75,120.8,0.5797
860,high,70,0.8481,0.3489,0.04011,0.004,0.8794,2.5214,150.08,78.36,0.3771,0.24975,0.00662,0.5574,1.5981,240.52,116.2,0.5652
870,high,72,0.8639,0.3536,0.03195,0.00816,0.8894,2.6231,148.65,79.49,0.3833,0.23272,0.01703,0.5713,1.6849,244.18,120.19,0.5882
880,high,72,0.8017,0.335,0.04398,0.01203,0.8652,2.5516,148.93,81.53,0.3863,0.25651,0.02379,0.5886,1.7357,229.37,118.96,0.6014
890,high,76,0.7412,0.3168,0.03158,0.01241,0.8533,2.6562,186.64,85.62,0.4154,0.24985,0.00666,0.5356,1.6674,217.92,116.66,0.6496
900,high,74,0.8737,0.3565,0.03836,0.00678,0.8758,2.6545,158.8,82.26,0.3902,0.24799,0.00186,0.5363,1.6256,263.24,117.46,0.5996
910,high,75,0.7555,0.3211,0.04267,0.00431,0.8678,2.6658,158.81,85.94,0.4028,0.24255,0.00544,0.5685,1.7465,208.12,122.69,0.622
920,high,76,0.7587,0.322,0.02862,0.01405,0.8758,2.7264,175.77,86.51,0.4142,0.23641,0.00614,0.5808,1.8081,243.13,121.78,0.6509
930,high,76,0.7874,0.3307,0.04025,0.01163,0.8853,2.756,178.26,83.88,0.4034,0.26491,0.0285,0.5336,1.6611,282.28,116.95,0.6153
940,high,80,0.7543,0.3207,0.02976,0.01049,0.8581,2.8118,161.88,87.12,0.4262,0.28126,0.01634,0.531,1.74,219.4,122.54,0.6806
950,high,79,0.8355,0.3451,0.03546,0.0057,0.8761,2.8349,185.71,87.18,0.4337,0.27729,0.00396,0.5469,1.7696,255.01,126.14,0.6416
960,high,80,0.7206,0.3106,0.03886,0.00341,0.8758,2.8697,201.32,84.54,0.4237,0.27312,0.00417,0.5436,1.7812,229.28,125.34,0.6863
970,high,79,0.7577,0.3218,0.03566,0.00321,0.8738,2.8274,167.88,85.73,0.4194,0.25381,0.01931,0.5522,1.7869,236.56,119.51,0.6758
980,high,82,0.8221,0.3411,0.03386,0.0018,0.8658,2.9079,167.05,86.16,0.4479,0.28332,0.02951,0.5746,1.9301,305.0,120.79,0.6773
990,high,83,0.7201,0.3105,0.04349,0.00963,0.8741,2.9716,172.57,89.07,0.444,0.25246,0.03086,0.5272,1.7924,255.14,123.85,0.677
1000,high,84,0.8657,0.3542,0.03177,0.01172,0.877,3.0175,191.36,87.14,0.4428,0.27757,0.02511,0.5146,1.7706,315.23,124.91,0.6942
1010,high,84,0.7417,0.317,0.04281,0.01103,0.8727,3.0027,193.96,85.3,0.4477,0.26139,0.01618,0.5474,1.8834,312.95,123.06,0.7048
1020,high,86,0.7716,0.3259,0.03378,0.00903,0.871,3.068,187.93,87.93,0.4582,0.29984,0.03845,0.5281,1.8602,322.73,132.58,0.73
1030,high,85,0.778,0.3278,0.0373,0.00353,0.8792,3.0611,198.54,91.32,0.4576,0.26562,0.03421,0.5296,1.844,276.43,125.0,0.7037
1040,high,87,0.7574,0.3217,0.03633,0.00097,0.8765,3.1235,196.87,90.48,0.4574,0.26529,0.00033,0.5164,1.8402,310.31,134.06,0.7263
1050,high,88,0.8613,0.3528,0.04315,0.00681,0.8754,3.1553,214.79,88.68,0.4782,0.29348,0.02819,0.527,1.8996,350.07,131.5,0.7306
1060,high,89,0.8311,0.3438,0.0389,0.00425,0.8947,3.2616,192.98,90.09,0.4779,0.28217,0.01131,0.5,1.8227,306.44,134.52,0.7421
1070,high,88,0.7568,0.3215,0.03895,5e-05,0.8663,3.1224,199.97,93.61,0.4697,0.27213,0.01004,0.5085,1.8329,293.19,134.75,0.7181
1080,high,88,0.8045,0.3358,0.038,0.00096,0.8749,3.1535,190.18,94.02,0.4717,0.28894,0.01681,0.5276,1.9016,302.97,132.76,0.7319
1090,high,89,0.7892,0.3312,0.03756,0.00043,0.8618,3.1415,198.1,92.24,0.4892,0.25231,0.03663,0.5,1.8227,259.72,133.32,0.7606
1100,high,90,0.6781,0.2979,0.03556,0.00201,0.8675,3.198,192.16,90.36,0.501,0.26158,0.00927,0.5095,1.8783,350.77,130.24,0.768
1110,high,92,0.7965,0.3334,0.03322,0.00234,0.8689,3.2742,193.31,95.45,0.5079,0.29032,0.02874,0.5069,1.91,282.55,133.81,0.7708
1120,high,94,0.7805,0.3286,0.03846,0.00524,0.8715,3.3554,204.44,96.32,0.4951,0.28459,0.00572,0.5,1.9251,295.82,131.35,0.7811
1130,high,93,0.8297,0.3433,0.04186,0.00341,0.8718,3.3209,195.75,92.46,0.512,0.28486,0.00027,0.5138,1.957,346.01,138.81,0.7632
1140,high,95,0.7355,0.3151,0.0389,0.00296,0.8607,3.3493,203.58,99.0,0.5297,0.31032,0.02546,0.5,1.9456,316.03,140.98,0.8075
1150,high,97,0.8457,0.3482,0.03038,0.00852,0.8778,3.4878,227.57,98.39,0.5409,0.28061,0.02971,0.5,1.9866,263.71,136.6,0.8187
1160,high,97,0.8202,0.3405,0.03943,0.00905,0.8856,3.5185,207.86,100.37,0.5164,0.29256,0.01195,0.5407,2.1484,260.7,141.11,0.8246
1170,high,98,0.7818,0.329,0.02951,0.00992,0.8542,3.4289,243.66,98.4,0.5349,0.30667,0.01412,0.5,2.007,346.59,137.73,0.8311
1180,high,97,0.8423,0.3471,0.03786,0.00834,0.8763,3.4818,216.61,94.19,0.515,0.32156,0.01488,0.5,1.9866,305.27,138.26,0.8123
1190,high,98,0.9144,0.3688,0.0403,0.00245,0.873,3.5045,194.31,96.27,0.5294,0.30243,0.01913,0.5,2.007,278.47,137.12,0.8168
1200,high,100,0.8787,0.358,0.03509,0.00522,0.8852,3.6258,202.24,97.54,0.5389,0.33045,0.02803,0.5117,2.0958,299.32,143.09,0.8208
1210,high,100,0.8485,0.349,0.03846,0.00337,0.8928,3.657,208.42,98.04,0.5391,0.27688,0.05357,0.5,2.048,380.8,144.05,0.8344
1220,high,100,0.8359,0.3452,0.0342,0.00425,0.8822,3.6135,210.09,95.99,0.5426,0.30329,0.02642,0.5,2.048,324.22,138.6,0.8217
1230,high,99,0.8239,0.3416,0.03499,0.00078,0.8818,3.5756,238.22,94.05,0.5501,0.29377,0.00953,0.5,2.0275,258.85,140.66,0.8265
1240,high,102,0.8362,0.3453,0.03809,0.0031,0.8933,3.7321,203.4,97.11,0.5368,0.30753,0.01376,0.5,2.089,258.31,136.76,0.8406
1250,high,98,0.851,0.3498,0.03444,0.00365,0.8658,3.4756,201.78,99.5,0.5356,0.29008,0.01745,0.5,2.007,343.59,139.55,0.8302
1260,high,97,0.8167,0.3395,0.04174,0.0073,0.8737,3.4715,239.19,98.59,0.513,0.28069,0.00939,0.5,1.9866,385.22,138.34,0.805
1270,high,101,0.7879,0.3308,0.04282,0.00107,0.8757,3.6228,238.92,94.94,0.5521,0.28674,0.00605,0.5,2.0685,286.03,138.01,0.8315
1280,high,99,0.9421,0.3771,0.03523,0.00758,0.8731,3.5406,210.27,100.58,0.5276,0.27738,0.00936,0.5114,2.0737,340.89,139.65,0.8059
1290,high,99,0.7706,0.3256,0.03881,0.00358,0.8727,3.5389,202.15,96.64,0.5294,0.29244,0.01506,0.5,2.0275,377.12,139.02,0.8171
1300,high,98,0.8477,0.3487,0.03637,0.00244,0.861,3.4561,197.67,98.53,0.5338,0.26644,0.02599,0.5,2.007,387.99,136.09,0.8216
1310,high,98,0.7909,0.3317,0.03522,0.00115,0.8863,3.5579,241.43,98.13,0.5439,0.31153,0.04509,0.5,2.007,386.59,141.79,0.8307
1320,high,99,0.813,0.3384,0.03914,0.00391,0.8891,3.6052,219.85,93.35,0.5209,0.3046,0.00692,0.5,2.0275,326.35,139.96,0.8148
1330,high,99,0.8158,0.3392,0.03704,0.00209,0.8599,3.4871,227.54,94.54,0.531,0.31612,0.01152,0.5,2.0275,255.88,142.06,0.8125
1340,high,99,0.8121,0.3381,0.04601,0.00896,0.8771,3.5566,198.14,93.29,0.536,0.29766,0.01846,0.5,2.0275,367.51,137.05,0.8302
1350,high,100,0.8806,0.3586,0.03923,0.00678,0.8687,3.5581,212.72,99.64,0.5545,0.3121,0.01444,0.5013,2.0533,363.47,142.9,0.8429
1360,high,101,0.9321,0.3741,0.03515,0.00408,0.8806,3.6429,196.5,97.81,0.537,0.30511,0.007,0.5,2.0685,371.2,143.84,0.8244
1370,high,99,0.6907,0.3016,0.03683,0.00168,0.869,3.5238,235.92,95.63,0.5386,0.30868,0.00357,0.5274,2.1387,287.37,143.58,0.8406
1380,high,100,0.8025,0.3352,0.03923,0.0024,0.8673,3.5524,212.99,96.45,0.5535,0.33791,0.02923,0.5,2.048,330.74,138.32,0.8431
1390,high,99,0.8147,0.3388,0.03074,0.00849,0.8853,3.5899,197.67,97.83,0.5212,0.30084,0.03707,0.5,2.0275,266.19,136.14,0.8148
1400,high,100,0.7666,0.3244,0.03588,0.00513,0.8692,3.5601,231.86,102.11,0.5507,0.29833,0.00251,0.5,2.048,296.65,143.54,0.8465
1410,high,98,0.8216,0.3409,0.03532,0.00056,0.8792,3.529,201.11,97.71,0.5322,0.29653,0.0018,0.5,2.007,291.47,138.85,0.8104
1420,high,100,0.8313,0.3438,0.03489,0.00043,0.8907,3.6484,235.17,99.2,0.528,0.31356,0.01702,0.5,2.048,385.23,138.24,0.8134
1430,high,97,0.8942,0.3627,0.03622,0.00133,0.8782,3.489,220.02,96.92,0.5249,0.30018,0.01338,0.5,1.9866,366.23,136.68,0.8003
1440,high,101,0.8184,0.34,0.03204,0.00418,0.8884,3.6753,226.28,95.43,0.5478,0.31292,0.01275,0.5051,2.0898,393.48,137.86,0.8233
1450,high,98,0.8463,0.3483,0.04217,0.01012,0.8846,3.5507,235.56,94.92,0.5276,0.31089,0.00203,0.5,2.007,325.47,142.32,0.7991
1460,high,98,0.8301,0.3435,0.03549,0.00668,0.8655,3.4741,221.06,100.45,0.5241,0.31411,0.00322,0.5,2.007,255.86,140.95,0.819
1470,high,100,0.8939,0.3626,0.03682,0.00133,0.8788,3.5996,233.85,99.96,0.5439,0.27905,0.03506,0.5049,2.0682,386.53,144.89,0.8421
1480,high,99,0.8441,0.3477,0.03656,0.00026,0.8821,3.577,238.14,98.5,0.541,0.27808,0.00098,0.5,2.0275,327.11,140.86,0.8359
1490,high,99,0.8582,0.3519,0.03013,0.00642,0.8812,3.5734,210.92,99.75,0.5429,0.31807,0.04,0.5,2.0275,346.82,142.28,0.8448
1500,high,99,0.8523,0.3501,0.03767,0.00753,0.8744,3.5458,207.9,98.97,0.5299,0.27922,0.03885,0.5,2.0275,395.69,142.49,0.844
1510,high,99,0.9205,0.3706,0.0324,0.00526,0.8913,3.6142,208.34,101.01,0.5302,0.31237,0.03315,0.5,2.0275,265.62,136.33,0.8214
1520,high,98,0.8286,0.343,0.03715,0.00474,0.8767,3.5193,234.47,94.49,0.5214,0.28823,0.02414,0.5,2.007,331.86,138.06,0.8169
1530,high,100,0.8405,0.3466,0.02998,0.00717,0.8685,3.5574,225.93,100.25,0.5362,0.29526,0.00704,0.5,2.048,334.43,136.87,0.8297
1540,high,98,0.8234,0.3415,0.03522,0.00524,0.8721,3.5007,235.56,100.63,0.5351,0.30707,0.01181,0.5,2.007,336.41,133.48,0.8163
1550,high,100,0.8399,0.3464,0.03181,0.00341,0.868,3.5554,214.93,96.03,0.5339,0.31861,0.01154,0.5,2.048,304.49,135.19,0.8471
1560,high,102,0.9361,0.3753,0.03274,0.00093,0.8911,3.7228,201.45,95.58,0.5686,0.3128,0.00581,0.5,2.089,286.16,140.89,0.8579
1570,high,99,0.7921,0.3321,0.03569,0.00295,0.8694,3.5253,217.75,94.78,0.5364,0.28995,0.02285,0.5,2.0275,303.44,136.45,0.8168
1580,high,100,0.7653,0.324,0.03442,0.00127,0.8668,3.5503,219.75,98.65,0.5496,0.33311,0.04316,0.5,2.048,357.63,143.37,0.8387
1590,high,102,0.8137,0.3385,0.03634,0.00193,0.8821,3.6855,208.4,100.79,0.5369,0.31356,0.01955,0.5,2.089,385.99,139.99,0.866
1600,high,99,0.8973,0.3636,0.03681,0.00046,0.8773,3.5574,224.6,97.1,0.5436,0.30312,0.01044,0.5,2.0275,303.87,143.3,0.8082
1610,high,99,0.8973,0.3636,0.03633,0.00047,0.8797,3.5671,241.29,96.63,0.5334,0.27801,0.02512,0.5,2.0275,328.36,136.76,0.8434
1620,high,99,0.7876,0.3307,0.03606,0.00028,0.8812,3.5732,202.88,94.39,0.5329,0.30272,0.02471,0.5,2.0275,389.92,134.21,0.8295
1630,high,99,0.8571,0.3516,0.04048,0.00442,0.8605,3.4896,198.71,95.53,0.5523,0.27316,0.02956,0.5059,2.0516,320.38,142.48,0.8387
1640,high,99,0.8745,0.3568,0.03848,0.002,0.8734,3.5416,206.32,100.58,0.5401,0.30228,0.02912,0.5,2.0275,289.09,138.49,0.8411
1650,high,98,0.8158,0.3392,0.043,0.00453,0.8585,3.4463,205.55,96.96,0.5171,0.2814,0.02088,0.5111,2.0516,342.7,142.35,0.8084
1660,high,99,0.8131,0.3384,0.03599,0.00701,0.8791,3.565,213.78,100.89,0.5505,0.28214,0.00074,0.5,2.0275,283.55,137.62,0.8073
1670,high,98,0.8494,0.3493,0.04086,0.00487,0.8725,3.5024,233.66,100.78,0.5386,0.29757,0.01543,0.501,2.0111,306.64,142.37,0.8195
1680,high,100,0.6574,0.2917,0.03361,0.00724,0.8773,3.5932,218.14,98.97,0.5526,0.3033,0.00573,0.5,2.048,362.69,143.35,0.8299
